"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427351","3.3","","..","","","0"
"2016/2017","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","3933","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","4053","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","7192","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","7264","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","7408","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies ","Current dollars","75","units","0","v114648208","3.4","7706","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073542374","3.5","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073542374","3.5","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073542374","3.5","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073542374","3.5","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073542374","3.5","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073542374","3.5","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v1073542375","3.6","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v1073542375","3.6","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v1073542375","3.6","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v1073542375","3.6","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v1073542375","3.6","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v1073542375","3.6","","..","","","0"
"2011/2012","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","","..","","","0"
"2012/2013","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","14442","","","","0"
